c,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.04,2.523785959,20.9214466,0.927743797,688.6199124,0.771387827,-6.68E-14,-1.89E-14,-2.09E-13
0.039,2.74496266,20.94491142,0.927401365,688.81879,0.769313043,-3.14E-15,-3.55E-16,1.07E-12
0.038,2.985165363,20.96926708,0.927056561,689.0178949,0.767208069,-2.50E-14,-6.83E-13,3.22E-15
0.037,3.245992747,20.99444736,0.926709091,689.2164828,0.765079366,-1.49E-08,3.53E-10,2.68E-15
0.036,3.533818119,21.08183867,0.926359144,690.7908893,0.748894827,-4.95E-08,-6.43E-07,-1.89E-12
0.035,3.837272368,21.0699504,0.926006587,690.1361642,0.755559598,-5.25E-08,-2.34E-07,5.02E-13
0.034,4.170312376,21.08325182,0.925651466,689.9952682,0.756715677,-6.89E-08,-7.92E-08,2.00E-12
0.033,4.533812984,21.13523732,0.925293747,690.7161764,0.74907888,-8.98E-08,-3.21E-07,-4.37E-12
0.032,4.925159391,21.13474009,0.924933324,690.2184248,0.753901569,-1.01E-07,3.89E-10,-1.10E-12
0.031,5.351354118,21.16640087,0.924570184,690.4338101,0.751418457,-1.16E-07,-5.91E-09,9.27E-12
0.03,5.813632534,21.19785934,0.924204247,690.6202147,0.749195445,-1.28E-07,1.05E-09,1.94E-12
0.029,6.315344054,21.21846081,0.923835427,690.5238853,0.749799907,-1.41E-07,1.34E-07,8.33E-12
0.028,6.858562219,21.26644576,0.923463648,691.0516818,0.744052705,-1.52E-07,-1.06E-08,-8.83E-12
0.027,7.44922362,21.32360257,0.923088922,691.7395744,0.736303078,-1.62E-07,-2.40E-07,5.19E-12
0.026,8.087678981,21.35671546,0.922711075,691.8653783,0.734570125,-1.70E-07,-2.04E-07,-2.49E-12
0.025,8.782353655,21.40938537,0.922330105,692.3855315,0.728341413,-1.80E-07,-3.62E-07,2.46E-12
0.024,9.528861538,21.41350778,0.92195083,691.8458457,0.734034181,-6.95E-15,6.34E-15,1.90E-13
0.023,10.34134333,21.45412276,0.921562888,692.0591882,0.731280155,-1.74E-08,-3.22E-09,3.14E-12
0.022,11.22131544,21.49538951,0.921172085,692.260839,0.728615463,-1.37E-08,-5.51E-10,-6.40E-12
0.021,12.17419002,21.53781412,0.920778539,692.4678945,0.725849477,3.20E-14,4.88E-15,-6.29E-13
0.02,13.20579025,21.58222874,0.920380185,692.6770322,0.723021545,-8.76E-14,-7.20E-15,-9.68E-12
0.019,14.32238017,21.62789038,0.919978367,692.8872779,0.720139177,2.28E-13,-7.40E-15,6.56E-12
0.018,15.53069488,21.67500261,0.919572225,693.096815,0.717217727,-1.92E-08,6.80E-10,-7.91E-12
0.017,16.84272044,21.75311496,0.919163039,693.9267454,0.706719092,-1.23E-08,-3.12E-07,-5.61E-13
0.016,18.25199771,21.7727129,0.918748906,693.5044918,0.711387653,-3.87E-08,9.76E-09,-2.76E-11
0.015,19.78391295,21.84634124,0.918332083,694.1767509,0.702635729,-4.29E-09,-2.22E-07,-5.73E-13
0.014,21.43425982,21.87848103,0.917910373,693.9546222,0.704852352,-1.56E-14,-3.60E-15,-1.03E-11
0.013,23.22108164,21.93346531,0.917484103,694.171961,0.701604904,-7.04E-13,-2.21E-13,7.03E-12
0.012,25.15187378,21.98989322,0.917053748,694.3900639,0.698286091,-1.10E-12,-2.08E-11,-2.24E-12
0.011,27.23766963,22.04848902,0.916618237,694.6105196,0.6948986,-3.24E-13,-9.24E-16,-1.19E-12
0.01,29.49029326,22.10920504,0.916177609,694.8324395,0.691438767,-5.39E-12,5.57E-11,-6.97E-13
0.009,31.92266308,22.16630917,0.915732388,694.9480345,0.689294616,-3.08E-09,5.50E-08,6.04E-12
0.008,34.54754556,22.23811691,0.915281716,695.3256188,0.683711796,-2.06E-08,-2.20E-08,-2.49E-12
0.007,37.39490813,22.34138881,0.914826033,694.7552245,0.690125156,-1.65E-08,3.67E-07,-1.04E-13
0.006,40.43552426,22.37227353,0.914365141,695.7629147,0.676456777,-2.93E-08,-1.23E-08,-1.68E-15
0.005,43.73074801,22.44778331,0.913898952,696.0865911,0.671318399,-1.73E-08,-6.04E-08,-1.99E-12
0.004,47.28203364,22.51507485,0.913427138,696.2047848,0.66890505,-5.79E-13,-1.31E-11,1.12E-13
0.003,51.12002473,22.61858593,0.912947958,696.9641378,0.657407571,-3.80E-08,-2.84E-07,-7.45E-12
0.002,55.23216791,22.66870479,0.912464727,696.6801145,0.660632616,-4.50E-13,-4.72E-14,-1.28E-13
0.001,59.6716164,22.7497288,0.911973654,696.9215961,0.656335181,5.93E-12,-4.64E-13,4.69E-13
-3.47E-17,64.45014095,22.83362827,0.911475854,697.1659201,0.651921833,-1.00E-10,-2.70E-11,-4.71E-13
0.041,2.320157346,20.89885654,0.928083908,688.4212295,0.773433233,-1.74E-14,-3.37E-16,-4.02E-14
0.042,2.132716892,20.87509331,0.928419902,688.1549422,0.776053075,-2.83E-08,2.82E-08,7.31E-14
0.043,1.960184413,20.85736379,0.928755514,688.0306468,0.777383118,-1.42E-08,-2.79E-09,2.89E-13
0.044,1.801411821,20.83677985,0.929088821,687.8153162,0.779494415,-7.15E-09,4.26E-09,1.12E-13
0.045,1.655315919,20.81810728,0.929419984,687.6273178,0.78134056,9.42E-15,3.73E-14,4.77E-13
0.046,1.52090243,20.7998055,0.929748925,687.4291159,0.783250445,-4.01E-16,-2.86E-16,-3.80E-12
0.047,1.397252993,20.78229828,0.930075802,687.230939,0.785135138,2.63E-15,-1.15E-15,-4.77E-13
0.048,1.283519995,20.76557395,0.930400654,687.0327053,0.786995254,-4.65E-15,3.07E-17,-9.17E-12
0.049,1.178921173,20.74962132,0.930723519,686.8340708,0.788831385,2.78E-16,1.18E-15,-1.28E-12
0.05,1.082734746,20.73442973,0.931044436,686.6355142,0.790644106,1.21E-15,3.29E-16,-4.10E-12
0.051,0.994294906,20.71998896,0.931363439,686.4389454,0.792433968,-5.89E-14,-5.71E-14,-2.40E-12
0.052,0.912987191,20.70624045,0.931680654,686.2398718,0.794201332,8.63E-15,1.08E-15,-7.00E-12
0.053,0.838245123,20.69317145,0.931996121,686.0396152,0.795946706,-1.30E-14,-6.18E-15,2.49E-12
0.054,0.769546701,20.68081574,0.932309797,685.8412431,0.797670753,-3.77E-14,1.81E-16,1.98E-11
0.055,0.706410306,20.6691647,0.932621714,685.6430028,0.799373956,-2.01E-14,-5.49E-14,1.99E-11
0.056,0.648392051,20.65907153,0.932930309,685.4425193,0.801059776,-2.01E-16,-5.06E-17,9.82E-12
0.057,0.595082889,20.64897556,0.933238487,685.2424089,0.802723225,-4.50E-16,-7.84E-17,6.47E-12
0.058,0.546105941,20.63956638,0.933544988,685.0423772,0.804367199,1.29E-15,2.17E-16,-8.70E-14
0.059,0.501113961,20.63076544,0.933849976,684.8422764,0.805991883,-1.27E-15,-3.84E-17,-3.34E-13
0.06,0.459787065,20.62257302,0.934153467,684.6419171,0.807597724,9.81E-13,2.16E-14,-6.02E-13
0.061,0.421830637,20.6150346,0.934455393,684.441262,0.809185294,-2.63E-13,-2.44E-13,1.02E-12
0.062,0.38697337,20.60814313,0.934755783,684.2403006,0.810754995,-1.23E-15,-3.52E-16,-1.46E-12
0.063,0.354965447,20.602841,0.935052881,684.038608,0.81231018,-2.32E-13,-7.62E-13,-5.20E-13
0.064,0.325576892,20.59727839,0.935350182,683.8370319,0.813845373,3.72E-14,4.25E-15,1.65E-12
0.065,0.298596011,20.59308997,0.935644506,683.634851,0.815366329,1.98E-12,3.95E-12,2.71E-11
0.066,0.273827938,20.58919204,0.935938138,683.431967,0.81686943,-1.92E-14,-4.15E-14,2.92E-12
0.067,0.251093383,20.58593402,0.936230326,683.2292326,0.81835653,-1.14E-12,-1.16E-14,-7.94E-12
0.068,0.230227382,20.58331246,0.936521092,683.0243418,0.819827873,-5.85E-14,-2.53E-13,-4.26E-13
0.069,0.211078132,20.5813239,0.936810459,682.8199991,0.821283789,3.83E-15,4.40E-16,-1.35E-12
0.07,0.193506012,20.57996488,0.937098449,682.615136,0.82272457,-1.58E-14,-2.51E-14,-2.70E-13
0.071,0.177382603,20.5792323,0.937385085,682.4097537,0.824150522,-4.98E-15,-5.67E-16,-2.68E-12
0.072,0.1625898,20.57912338,0.937670387,682.2038321,0.825561934,3.41E-14,9.50E-14,-4.80E-13
0.073,0.149161188,20.63149329,0.937954289,683.3880645,0.817642654,-1.85E-08,-4.90E-07,-1.30E-13
0.074,0.13657036,20.58104605,0.938236741,681.8009395,0.828276122,-2.22E-08,-3.54E-09,4.78E-13
0.075,0.125250382,20.62960993,0.938518199,682.8630051,0.821380788,-3.04E-08,-4.42E-07,2.73E-12
0.076,0.114680076,20.58759646,0.938798195,681.4550896,0.830575929,-3.18E-08,-2.67E-08,2.42E-13
0.077,0.105079057,20.59698197,0.93907712,681.4267813,0.830825538,-3.30E-08,-8.61E-08,6.82E-12
0.078,0.096270498,20.59772133,0.939354761,681.1384397,0.832648599,-3.82E-08,-5.96E-08,-1.16E-13
0.079,0.088196572,20.60459935,0.939631207,681.0050167,0.833519181,-4.38E-08,-8.42E-08,-1.33E-12
0.08,0.080829327,20.63755559,0.939906531,681.5731962,0.830056489,-5.11E-08,-3.42E-07,-2.44E-12
0.081,0.074009569,20.6217709,0.940180635,680.7806055,0.834980202,-5.12E-08,-1.47E-07,-1.29E-11
0.082,0.06780182,20.64163618,0.940453604,680.9565927,0.833967602,-5.87E-08,-2.72E-07,-2.33E-11
0.083,0.062078113,20.62344088,0.940725459,680.0457371,0.839366051,-5.84E-08,-4.66E-08,1.51E-13
0.084,0.056971727,20.70546385,0.940996286,681.8691136,0.828119462,-8.47E-08,-7.18E-07,-4.66E-12
0.085,0.052180131,20.7168782,0.941265931,681.7551574,0.828855097,-9.08E-08,-7.46E-07,2.80E-12
0.086,0.047669441,20.64685522,0.941534463,679.3988241,0.843145487,-6.56E-08,-4.47E-08,-1.55E-12
0.087,0.043648902,20.66502452,0.941801982,679.444832,0.842941318,-6.85E-08,-1.25E-07,-5.94E-14
0.088,0.039964005,20.67844739,0.942068473,679.3357659,0.843585715,-6.96E-08,-1.57E-07,-5.97E-13
0.089,0.036600752,20.70985613,0.942333901,679.7191886,0.841462527,-7.72E-08,-3.41E-07,-1.12E-11
0.09,0.033488967,20.68945536,0.942598297,678.6056522,0.847602212,-7.39E-08,-6.65E-08,5.99E-13
0.091,0.03065568,20.70666263,0.942861742,678.5507525,0.847932211,-7.34E-08,-1.15E-07,-6.57E-13
0.092,0.02805786,20.71111477,0.943124133,678.1064536,0.850282426,-7.59E-08,-4.82E-08,-1.19E-11
0.093,0.025696793,20.76413514,0.943385645,679.0438626,0.845307214,-8.07E-08,-3.92E-07,1.28E-12
0.094,0.023518462,20.68415867,0.943646224,676.0477912,0.86008692,-7.48E-08,4.05E-07,2.30E-12
0.095,0.021506819,20.74681078,0.943905485,677.3035177,0.854414705,-8.44E-08,-9.28E-09,6.95E-12
0.096,0.019680292,20.7639731,0.944164206,677.1514174,0.855198675,-7.50E-08,-2.97E-08,-7.84E-12
0.097,0.018008091,20.78477479,0.94442184,677.089592,0.855538881,-7.69E-08,-7.55E-08,1.13E-11
0.098,0.016476296,20.79639032,0.944678617,676.7322869,0.857282579,-7.39E-08,-3.89E-08,-2.52E-12
0.099,0.015076548,20.83151529,0.944934467,677.0555021,0.85575784,-7.48E-08,-1.92E-07,-7.63E-13
0.1,0.013790744,20.83446934,0.945189409,676.4028076,0.858905914,-7.25E-08,-7.32E-08,-4.42E-12
