variable,value,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x
c,0.04,2.52378595867396,20.9214466027,0.927743797394,688.619912355774,0.771387827179,-6.68445016169e-14,-1.88527128814e-14,-2.09082751113e-13
c,0.039,2.74496266027197,20.9449114162,0.927401364616,688.8187900017928,0.769313042733,-3.14323084704e-15,-3.55149636595e-16,1.06613329276e-12
c,0.038,2.98516536262158,20.9692670838,0.927056561128,689.0178948709078,0.767208069085,-2.49715766296e-14,-6.82924230891e-13,3.21964677141e-15
c,0.037,3.24599274703084,20.9944473585,0.926709090797,689.2164827577309,0.765079366304,-1.48582824865e-08,3.53235734626e-10,2.67624464256e-15
c,0.036,3.53381811881265,21.0818386691,0.926359144277,690.7908892566826,0.748894826692,-4.95196420803e-08,-6.4267780487e-07,-1.89309679044e-12
c,0.035,3.83727236760396,21.0699503993,0.926006586855,690.1361642482706,0.755559597682,-5.24522438962e-08,-2.34011260087e-07,5.01813868237e-13
c,0.034,4.17031237638756,21.0832518222,0.925651466433,689.9952681594282,0.756715677158,-6.89275323725e-08,-7.92408163063e-08,1.99655569855e-12
c,0.033,4.53381298392443,21.1352373201,0.925293747263,690.7161764141105,0.749078880448,-8.98169942383e-08,-3.21190170067e-07,-4.3700650737e-12
c,0.032,4.92515939065906,21.1347400926,0.924933324241,690.218424845243,0.753901569198,-1.01483911447e-07,3.8916399366e-10,-1.09824649375e-12
c,0.031,5.35135411815377,21.1664008702,0.9245701836,690.4338100558756,0.751418456623,-1.15500009964e-07,-5.91130794301e-09,9.27236065706e-12
c,0.03,5.81363253385072,21.1978593441,0.924204247154,690.6202147050412,0.749195444722,-1.27870560615e-07,1.05092171859e-09,1.9376444893e-12
c,0.029,6.31534405351582,21.2184608092,0.923835426713,690.5238853162376,0.749799906551,-1.40809769274e-07,1.34109445401e-07,8.32532653927e-12
c,0.028,6.85856221919533,21.2664457598,0.923463647928,691.051681778179,0.744052705346,-1.52157567397e-07,-1.06202129127e-08,-8.83269846153e-12
c,0.027,7.44922361996896,21.3236025673,0.923088922288,691.7395743650361,0.736303077691,-1.62366863421e-07,-2.40451250262e-07,5.19045917358e-12
c,0.026,8.08767898063677,21.3567154602,0.92271107475,691.8653782812377,0.734570125216,-1.70409693799e-07,-2.03860006628e-07,-2.48803755376e-12
c,0.025,8.78235365476580,21.4093853676,0.922330105111,692.3855314977641,0.728341413497,-1.80339368902e-07,-3.61597594912e-07,2.45854031578e-12
c,0.024,9.52886153759692,21.4135077789,0.921950830311,691.8458456562996,0.734034181208,-6.95272743424e-15,6.34219760441e-15,1.90437943193e-13
c,0.023,10.3413433307114,21.4541227599,0.921562887544,692.0591882278407,0.731280154565,-1.74077818029e-08,-3.2196463479e-09,3.14357567754e-12
c,0.022,11.2213154353551,21.4953895051,0.921172085167,692.2608390295245,0.728615462579,-1.37197710064e-08,-5.50790122269e-10,-6.4010741152e-12
c,0.021,12.1741900154791,21.537814118,0.920778539013,692.4678945414734,0.725849476531,3.19735159369e-14,4.88209605934e-15,-6.28594398755e-13
c,0.02,13.2057902521631,21.5822287365,0.92038018514,692.6770321651364,0.723021544901,-8.75698253196e-14,-7.19555751274e-15,-9.67746716096e-12
c,0.019,14.3223801687080,21.6278903812,0.919978367092,692.8872779179695,0.720139176782,2.28372110236e-13,-7.39788960642e-15,6.55765719504e-12
c,0.018,15.5306948826632,21.6750026133,0.919572225485,693.0968150142107,0.717217726922,-1.91689601258e-08,6.8032726794e-10,-7.90785492644e-12
c,0.017,16.8427204423729,21.7531149632,0.919163038511,693.9267453752686,0.706719092183,-1.22714020437e-08,-3.11586399338e-07,-5.61301005675e-13
c,0.016,18.2519977065740,21.7727128993,0.918748905571,693.5044918212784,0.711387653057,-3.87222032314e-08,9.75534992193e-09,-2.75928863092e-11
c,0.015,19.7839129487374,21.8463412439,0.918332083489,694.1767508708439,0.702635728679,-4.28607340909e-09,-2.21671950464e-07,-5.7279181398e-13
c,0.014,21.4342598184776,21.8784810324,0.917910373375,693.954622218846,0.704852351546,-1.56340673789e-14,-3.5967163185e-15,-1.03007533059e-11
c,0.013,23.2210816415097,21.9334653114,0.917484102656,694.171960988966,0.701604903564,-7.03874210855e-13,-2.21068754395e-13,7.03475819264e-12
c,0.012,25.1518737785236,21.9898932195,0.917053747716,694.3900638767332,0.698286090836,-1.10365309308e-12,-2.07774209443e-11,-2.23927820731e-12
c,0.011,27.2376696333173,22.0484890239,0.916618237095,694.6105196308913,0.694898599847,-3.23504542355e-13,-9.23716992513e-16,-1.19010357125e-12
c,0.01,29.4902932561661,22.109205039,0.916177608817,694.8324394932438,0.691438767034,-5.39104073209e-12,5.56937410634e-11,-6.96789848043e-13
c,0.009,31.9226630796544,22.1663091711,0.91573238757,694.9480345041776,0.689294615996,-3.08378440997e-09,5.49612509072e-08,6.04202105015e-12
c,0.008,34.5475455635894,22.2381169081,0.915281716426,695.3256188056763,0.683711795646,-2.0611393485e-08,-2.20483036821e-08,-2.4873089699e-12
c,0.007,37.3949081263533,22.3413888091,0.914826032822,694.7552244516744,0.690125155521,-1.64708450462e-08,3.67219978593e-07,-1.03708708288e-13
c,0.006,40.4355242616717,22.3722735325,0.914365141215,695.7629146962382,0.676456776851,-2.92791348342e-08,-1.22705421287e-08,-1.67921232475e-15
c,0.005,43.7307480131494,22.4477833105,0.913898951667,696.086591094544,0.671318399111,-1.73107462097e-08,-6.03822716131e-08,-1.99382177435e-12
c,0.004,47.2820336388182,22.5150748452,0.913427137848,696.2047847827928,0.668905050272,-5.78996625298e-13,-1.31446731131e-11,1.11896603094e-13
c,0.003,51.1200247339146,22.6185859338,0.912947958305,696.9641377590119,0.65740757085,-3.80208908255e-08,-2.83826800977e-07,-7.44851402779e-12
c,0.002,55.2321679055534,22.6687047882,0.912464727175,696.6801145079372,0.660632616262,-4.5025329053e-13,-4.72301701977e-14,-1.27980959164e-13
c,0.001,59.6716163981727,22.7497288033,0.911973653703,696.9215961022924,0.656335180718,5.9345321812e-12,-4.63829573144e-13,4.69499439326e-13
c,-3.46944695195e-17,64.4501409473580,22.8336282709,0.911475854367,697.1659200701079,0.651921832809,-1.00111139416e-10,-2.70263894359e-11,-4.71289673953e-13
c,0.041,2.32015734602789,20.8988565389,0.928083908135,688.4212294851598,0.7734332327,-1.74008553335e-14,-3.36519858014e-16,-4.01623179158e-14
c,0.042,2.13271689235341,20.8750933118,0.928419901903,688.154942152636,0.776053075324,-2.82776506752e-08,2.82319988921e-08,7.3080430596e-14
c,0.043,1.96018441321366,20.8573637879,0.928755513672,688.0306467998539,0.777383118007,-1.42013982744e-08,-2.79039023343e-09,2.88519208524e-13
c,0.044,1.80141182114861,20.8367798458,0.929088821394,687.8153161956684,0.779494415137,-7.15069407467e-09,4.2592696065e-09,1.11535780611e-13
c,0.045,1.65531591886937,20.8181072813,0.929419983602,687.6273177542632,0.78134056022,9.41541918894e-15,3.73042697976e-14,4.77229367135e-13
c,0.046,1.52090242988455,20.7998054961,0.929748924878,687.429115922569,0.783250444581,-4.0082806086e-16,-2.86457892013e-16,-3.7951586318e-12
c,0.047,1.39725299319843,20.7822982795,0.930075801848,687.2309390243489,0.785135137725,2.62811538347e-15,-1.1526850141e-15,-4.76840789077e-13
c,0.048,1.28351999502286,20.7655739476,0.930400653915,687.0327052525437,0.786995253521,-4.65413094891e-15,3.0710986129e-17,-9.16883236002e-12
c,0.049,1.17892117327908,20.7496213237,0.930723519394,686.8340708253503,0.788831385287,2.78162231747e-16,1.17676752252e-15,-1.28294597168e-12
c,0.05,1.08273474569663,20.7344297266,0.931044435544,686.6355141679135,0.79064410607,1.21444280549e-15,3.28612612123e-16,-4.09935974055e-12
c,0.051,0.994294905821032,20.7199889598,0.931363438605,686.4389454029681,0.79243396848,-5.88787119781e-14,-5.71364027177e-14,-2.40008013463e-12
c,0.052,0.912987190642015,20.706240447,0.931680653558,686.2398718288146,0.794201332229,8.6322008569e-15,1.08159914077e-15,-6.99754143518e-12
c,0.053,0.838245123257869,20.6931714451,0.931996121348,686.0396151739261,0.795946706449,-1.29615522688e-14,-6.18378202841e-15,2.49344989101e-12
c,0.054,0.769546701353536,20.6808157448,0.932309797131,685.8412430711539,0.797670753245,-3.7709114836e-14,1.80740655161e-16,1.97747374031e-11
c,0.055,0.706410306136538,20.6691647014,0.932621713893,685.6430028001885,0.799373955787,-2.01123881842e-14,-5.48606611218e-14,1.98538407936e-11
c,0.056,0.648392050527931,20.6590715341,0.932930309356,685.4425192550717,0.801059775544,-2.0101939429e-16,-5.05951866693e-17,9.82353781653e-12
c,0.057,0.595082889400535,20.648975555,0.933238486666,685.2424089304226,0.802723225188,-4.49928919686e-16,-7.839426533e-17,6.47454312386e-12
c,0.058,0.546105941355670,20.6395663797,0.933544987635,685.0423771959164,0.804367198836,1.29403023297e-15,2.17113611551e-16,-8.69998517672e-14
c,0.059,0.501113960946809,20.6307654417,0.933849975903,684.8422764003212,0.805991882614,-1.26625041104e-15,-3.84078822597e-17,-3.33545691067e-13
c,0.06,0.459787064790884,20.6225730181,0.934153467463,684.6419170622421,0.807597723521,9.81092747472e-13,2.16470904483e-14,-6.01699245983e-13
c,0.061,0.421830637469927,20.6150345956,0.934455393386,684.4412620453178,0.809185293679,-2.62734129488e-13,-2.44251571485e-13,1.01995148438e-12
c,0.062,0.386973369542469,20.6081431344,0.934755783009,684.2403006376238,0.810754995375,-1.23371746372e-15,-3.52230555422e-16,-1.45634546089e-12
c,0.063,0.354965447217377,20.6028409967,0.935052881334,684.0386080463852,0.81231018042,-2.31521129706e-13,-7.6232358398e-13,-5.19952136901e-13
c,0.064,0.325576891972188,20.5972783875,0.935350182444,683.8370319032089,0.813845372767,3.72010805678e-14,4.24519374584e-15,1.64797342439e-12
c,0.065,0.298596011072586,20.5930899706,0.935644505863,683.6348509764791,0.815366329461,1.98065388697e-12,3.94583590076e-12,2.7103756739e-11
c,0.066,0.273827938376803,20.5891920392,0.935938138484,683.4319670115482,0.816869430154,-1.91908515209e-14,-4.15184073518e-14,2.92055268858e-12
c,0.067,0.251093383456699,20.5859340198,0.93623032609,683.2292325858527,0.81835653026,-1.14494326851e-12,-1.16278854736e-14,-7.94474902532e-12
c,0.068,0.230227382172435,20.5833124603,0.936521092074,683.0243418325491,0.81982787264,-5.8532991669e-14,-2.53303196277e-13,-4.26367274819e-13
c,0.069,0.211078131521144,20.5813238978,0.936810459013,682.8199990571827,0.821283788915,3.83142563493e-15,4.39694423605e-16,-1.35472189022e-12
c,0.07,0.193506012384194,20.5799648754,0.937098449348,682.6151359758669,0.822724570418,-1.58410458552e-14,-2.51087575664e-14,-2.69728683833e-13
c,0.071,0.177382603307140,20.5792322968,0.937385084846,682.4097536516642,0.824150521814,-4.97540885173e-15,-5.66982731575e-16,-2.68247923874e-12
c,0.072,0.162589800078248,20.5791233782,0.937670386765,682.2038320774824,0.825561933675,3.4137383044e-14,9.49672485291e-14,-4.79782880092e-13
c,0.073,0.149161187513965,20.6314932928,0.937954289204,683.3880645081111,0.817642654496,-1.84994635173e-08,-4.90235720988e-07,-1.29923849457e-13
c,0.074,0.136570359688347,20.5810460453,0.938236741372,681.8009394549218,0.828276122356,-2.21504935096e-08,-3.53592977389e-09,4.77784478647e-13
c,0.075,0.125250382029224,20.6296099268,0.938518198958,682.8630050638789,0.821380788379,-3.03777339479e-08,-4.41988257121e-07,2.72856737205e-12
c,0.076,0.114680076286263,20.5875964579,0.938798194585,681.4550895781434,0.830575928587,-3.18140670124e-08,-2.66647288667e-08,2.42320052912e-13
c,0.077,0.105079057135994,20.5969819717,0.939077119797,681.4267812717043,0.830825537767,-3.30064145112e-08,-8.60888652648e-08,6.82250089756e-12
c,0.078,0.0962704979523752,20.5977213307,0.939354761441,681.1384397040129,0.832648598758,-3.82176158041e-08,-5.95927383063e-08,-1.16004428286e-13
c,0.079,0.0881965717304230,20.6045993463,0.939631206745,681.0050166738928,0.833519181472,-4.37658109593e-08,-8.41802439396e-08,-1.3310741398e-12
c,0.08,0.0808293272171471,20.6375555932,0.939906530789,681.5731962204408,0.830056489229,-5.11399414724e-08,-3.41542070242e-07,-2.43977060777e-12
c,0.081,0.0740095685872811,20.6217709,0.940180635389,680.7806054989471,0.834980202472,-5.12238707579e-08,-1.46913479982e-07,-1.28852137293e-11
c,0.082,0.0678018199723803,20.6416361848,0.940453604012,680.9565926763999,0.833967602321,-5.87477152091e-08,-2.71852940079e-07,-2.33261465699e-11
c,0.083,0.0620781126545189,20.6234408757,0.940725458752,680.0457371236189,0.839366051404,-5.84055914127e-08,-4.65782934622e-08,1.5079604232e-13
c,0.084,0.0569717273374701,20.7054638459,0.940996286351,681.8691136436761,0.828119461519,-8.46923192352e-08,-7.1757328657e-07,-4.66007787914e-12
c,0.085,0.0521801312838818,20.7168782026,0.941265931212,681.755157442463,0.828855097296,-9.07863849923e-08,-7.45839776577e-07,2.80116208007e-12
c,0.086,0.0476694412725825,20.6468552232,0.941534462576,679.3988240596111,0.843145487018,-6.56303833924e-08,-4.46974931987e-08,-1.54773589778e-12
c,0.087,0.0436489020893465,20.6650245177,0.94180198212,679.4448319971419,0.842941317586,-6.8522337069e-08,-1.24876836569e-07,-5.94246873931e-14
c,0.088,0.0399640050818390,20.6784473944,0.942068473304,679.3357658501695,0.843585715221,-6.95728819893e-08,-1.57004576559e-07,-5.9691140919e-13
c,0.089,0.0366007516837528,20.7098561325,0.942333901145,679.7191886168175,0.841462527418,-7.71966218198e-08,-3.40792960921e-07,-1.11761433441e-11
c,0.09,0.0334889668996889,20.689455357,0.94259829693,678.6056522198387,0.847602211964,-7.38780218906e-08,-6.65419964524e-08,5.99000016255e-13
c,0.091,0.0306556803598349,20.7066626339,0.942861742047,678.5507524921757,0.847932210951,-7.34058830948e-08,-1.15105690806e-07,-6.57085497124e-13
c,0.092,0.0280578599617663,20.7111147715,0.943124133235,678.106453597512,0.850282426437,-7.59453841843e-08,-4.82305708539e-08,-1.18775544955e-11
c,0.093,0.0256967928940806,20.7641351359,0.943385645274,679.0438626235541,0.845307213815,-8.07448085446e-08,-3.91926397065e-07,1.27886590207e-12
c,0.094,0.0235184615251569,20.6841586725,0.943646224479,676.047791169868,0.860086919561,-7.48185998707e-08,4.0493922262e-07,2.29874452806e-12
c,0.095,0.0215068188202769,20.7468107787,0.943905484872,677.3035177421117,0.854414705263,-8.4387685774e-08,-9.28096382587e-09,6.95049573451e-12
c,0.096,0.0196802918714180,20.7639730974,0.944164206108,677.1514174124654,0.855198674932,-7.4958646951e-08,-2.97165349744e-08,-7.83681453065e-12
c,0.097,0.0180080914205321,20.7847747933,0.944421839917,677.0895919948292,0.855538881377,-7.69322110758e-08,-7.55002129321e-08,1.13285214542e-11
c,0.098,0.0164762959638991,20.7963903183,0.944678617467,676.7322869185773,0.857282579193,-7.39096751438e-08,-3.8927929602e-08,-2.51559884035e-12
c,0.099,0.0150765478724782,20.8315152927,0.944934467357,677.0555021319749,0.855757840437,-7.47627491284e-08,-1.9163055023e-07,-7.62861995796e-13
c,0.1,0.0137907440337969,20.8344693417,0.945189408967,676.4028076234098,0.858905913558,-7.25302164162e-08,-7.32390187747e-08,-4.42093583963e-12
c,0.101,0.0126153191553725,20.8443797513,0.94544345876,675.9300382689742,0.861101793397,-7.24556282846e-08,-7.73932018673e-09,-9.34669008856e-13
c,0.102,0.0115399153593401,20.8705189143,0.945696644775,675.92881042361,0.86114909789,-7.23565333313e-08,-6.91932598699e-08,-8.30280288966e-13
c,0.103,0.0105551040010149,20.8811150188,0.945948980079,675.4337985378114,0.863390413946,-7.08667063029e-08,6.07559527709e-10,-3.97590294021e-12
c,0.104,0.00965473188531028,20.9173839228,0.946200484027,675.697993299786,0.862254238275,-6.92900445362e-08,-1.30403868163e-07,5.0145200492e-12
c,0.105,0.00882961209686025,20.9100355704,0.946451122077,674.6095261505114,0.866994465138,-6.79647050836e-08,9.20759105265e-08,1.2055217935e-12
c,0.106,0.00807490586489716,20.9303840297,0.946700933371,674.3433381105269,0.868135524294,-6.69840130645e-08,9.83966464029e-08,6.54795662136e-13
c,0.107,0.00738414196315498,20.9751489482,0.946949929661,674.8088043975265,0.866235944634,-6.53396588126e-08,-8.1391651335e-08,-1.30906396834e-12
c,0.108,0.00675847730795365,21.0455065815,0.947198138316,676.0093942261133,0.860825584245,-7.49202355964e-08,-4.52534831107e-07,1.37942435252e-12
c,0.109,0.00617454739940516,21.0320059038,0.947445502417,674.6672456705219,0.866897282998,-6.3617355828e-08,-1.64967373154e-07,-1.23566157306e-11
c,0.11,0.00565165606096226,21.1007439933,0.947692132194,675.7718444634337,0.861910084564,-7.4446845994e-08,-5.07140333387e-07,-7.44673767095e-12
c,0.111,0.00516077965639637,21.0594369157,0.947937892424,673.522270004804,0.871647650271,-6.0065304239e-08,-4.40655655919e-10,-1.55264689994e-13
c,0.112,0.00472535975650201,21.1598232296,0.948182992981,675.560126308427,0.862850181796,-7.52146725523e-08,-5.67520766013e-07,3.31928928787e-13
c,0.113,0.00431305562909614,21.110244677,0.948427182133,673.0052864880116,0.873733524541,-5.88853809675e-08,5.38190838051e-09,7.43000279357e-13
c,0.114,0.00394343471434053,21.1657960356,0.948670731359,673.6531672299485,0.871211908117,-5.80383039058e-08,-2.08298874848e-07,3.94315136099e-12
c,0.115,0.00360382121089841,21.1706830134,0.948913497234,672.6920875624827,0.87499974041,-5.42272200183e-08,-3.83318771492e-08,-7.12615730314e-13
c,0.116,0.00329534423781252,21.2345417382,0.949155531418,673.5493742198503,0.871642667651,-5.86759833359e-08,-2.98662052329e-07,6.64884813872e-13
c,0.117,0.00301052478154458,21.2230494732,0.949396818034,672.0263148969663,0.877547699484,-5.24015245353e-08,-4.62387344972e-11,2.54263624044e-12
c,0.118,0.00275279215340309,21.2978297493,0.949637352297,673.1805347753096,0.873140276512,-6.18005584596e-08,-3.2480412481e-07,1.33582034323e-12
c,0.119,0.00251438934638829,21.284508568,0.949877272488,671.5415361433783,0.879365027772,-4.89102906658e-08,-5.94209362018e-09,-2.30182817251e-11
c,0.12,0.00229894366817003,21.3615729914,0.950116430702,672.7216421937444,0.874965102956,-5.52101544852e-08,-3.30487547141e-07,-2.06085148946e-13
c,0.121,0.00209958036926467,21.3493154505,0.950354880235,671.0553374792739,0.881139757231,-4.69262295194e-08,-1.29611717657e-08,-4.74952022156e-12
c,0.122,0.00191844108122510,21.3804796959,0.95059263379,670.7312056196685,0.882286206332,-4.66113766111e-08,8.04756738763e-10,-3.22666893204e-12
c,0.123,0.00175718121178558,21.514379497,0.950829781232,673.6045439698532,0.871218855612,-7.48004585692e-08,-6.93969018105e-07,-3.60339535987e-11
c,0.124,0.00160145779736314,21.4520670358,0.951066124237,670.29400539039,0.883828346679,-4.36850066033e-08,-1.88670057583e-08,-7.01597113739e-12
c,0.125,0.00146308936749046,21.49252365,0.951301703135,670.1851445797417,0.884224657115,-5.47577203618e-08,-5.22372352177e-08,1.57091492592e-11
c,0.126,0.00133658150349565,21.5258026754,0.951536848916,669.8111077749048,0.885485600794,-4.7344070982e-08,-2.9633887058e-08,4.10785294669e-12
c,0.127,0.00122095856611740,21.5568732861,0.951771305978,669.3360012787718,0.887043183399,-4.24678647929e-08,1.32438590857e-08,1.69369726577e-12
c,0.128,0.00111528567354927,21.5967189701,0.952004925093,669.1164961101682,0.887770315894,-5.25465230349e-08,2.14105709218e-09,-3.11906750428e-12
c,0.129,0.00101877547920339,21.6534672374,0.952238183801,669.4088629309429,0.886876644389,-4.09325701749e-08,-1.13346666087e-07,-2.81372147803e-14
c,0.13,0.000930705893167072,21.7117308462,0.952470679506,669.7237693737434,0.885866837614,-4.14033395678e-08,-2.31132882652e-07,-1.26804122758e-12
variable,value,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x
c,0.04,2.52378595867396,20.9214466027,0.927743797394,688.619912355774,0.771387827179,-6.68445016169e-14,-1.88527128814e-14,-2.09082751113e-13
c,0.04,2.77870115262942,21.0960820294,0.931555217815,687.9730223478073,0.780390665124,-3.83355253466e-15,-5.87840450567e-15,7.09127201404e-13
